	activity	bonus_credit_eligibility	country	currency_exchange_loss_amount	delinquent	disbursal_amount	funded_amount	id	lender_count	loan_amount	loss_liability	paid_amount	repayment_term	sector	status	avg_invitee_count	avg_loan_count	country_count	fund_yr
3046	Pigs	False	El Salvador	N/A	False	1050.0	1050	203241	29	1050	lender	1050.0	26.0	Agriculture	paid	N/A	N/A	N/A	2010.0
3047	Farming	False	Kyrgyzstan	N/A	False	43000.0	950	203364	34	950	lender	950.0	8.0	Agriculture	paid	N/A	N/A	N/A	2010.0
3048	Services	True	Philippines	N/A	False	17000.0	375	203414	3	375	lender	375.0	11.0	Services	paid	N/A	N/A	N/A	2010.0
3049	Livestock	True	Philippines	N/A	False	15000.0	325	203446	13	325	lender	325.0	7.0	Agriculture	paid	N/A	N/A	N/A	2010.0
3050	Food Production/Sales	True	Philippines	N/A	False	10000.0	225	203478	5	225	lender	225.0	11.0	Food	paid	N/A	N/A	N/A	2010.0
3051	General Store	True	Togo	N/A	False	400000.0	775	203487	27	775	lender	775.0	14.0	Retail	paid	N/A	N/A	N/A	2010.0
3052	Food Stall	True	Togo	N/A	False	200000.0	400	203523	15	400	lender	400.0	14.0	Food	paid	N/A	N/A	N/A	2010.0
3053	Cereals	True	Togo	N/A	False	400000.0	775	203588	28	775	lender	775.0	14.0	Food	paid	N/A	N/A	N/A	2010.0
3054	Retail	True	Philippines	N/A	False	8000.0	175	203877	7	175	lender	175.0	11.0	Retail	paid	N/A	N/A	N/A	2010.0
3055	Food Market	True	Philippines	N/A	False	14000.0	300	203919	9	300	lender	300.0	11.0	Food	paid	N/A	N/A	N/A	2010.0
3056	Barber Shop	False	Armenia	N/A	False	3000.0	3000	204015	103	3000	lender	3000.0	26.0	Services	paid	N/A	N/A	N/A	2010.0
3057	Decorations Sales	False	Peru	N/A	False	1000.0	350	204043	9	350	lender	350.0	6.0	Retail	paid	N/A	N/A	N/A	2010.0
3058	Cattle	True	Peru	N/A	True	2500.0	875	204080	25	875	lender	N/A	12.0	Agriculture	defaulted	N/A	N/A	N/A	2010.0
3059	Traveling Sales	False	Ghana	N/A	False	400.0	300	204122	10	300	lender	300.0	8.0	Retail	paid	N/A	N/A	N/A	2010.0
3060	Services	False	Bolivia	N/A	False	22800.0	0	204150	5	3250	lender	N/A	8.0	Services	refunded	N/A	N/A	N/A	N/A
3061	General Store	True	Philippines	N/A	False	8000.0	175	204359	7	175	lender	175.0	11.0	Retail	paid	N/A	N/A	N/A	2010.0
3062	Farm Supplies	False	Nicaragua	N/A	False	24000.0	1150	204519	36	1150	lender	1150.0	14.0	Agriculture	paid	N/A	N/A	N/A	2010.0
3063	General Store	False	Nicaragua	N/A	False	25000.0	1200	204554	3	1200	lender	1200.0	14.0	Retail	paid	N/A	N/A	N/A	2010.0
3064	Clothing Sales	False	Mongolia	N/A	False	3500000.0	2550	204620	81	2550	lender	2550.0	26.0	Clothing	paid	N/A	N/A	N/A	2010.0
3065	Crafts	True	Mongolia	N/A	False	1000000.0	725	204625	26	725	lender	725.0	14.0	Arts	paid	N/A	N/A	N/A	2010.0
3066	Cosmetics Sales	False	Dominican Republic	N/A	False	46000.0	1275	204783	30	1275	lender	1275.0	7.0	Retail	paid	N/A	N/A	N/A	2010.0
3067	Agriculture	True	Philippines	N/A	False	9000.0	200	204862	4	200	lender	200.0	7.0	Agriculture	paid	N/A	N/A	N/A	2010.0
3068	Retail	False	Nicaragua	N/A	False	8500.0	400	205036	15	400	lender	400.0	15.0	Retail	paid	N/A	N/A	N/A	2010.0
3069	Farming	True	Bolivia	N/A	False	500.0	500	205175	19	500	lender	500.0	15.0	Agriculture	paid	N/A	N/A	N/A	2010.0
3070	Retail	True	Peru	N/A	False	9800.0	3450	205209	109	3450	lender	3450.0	8.0	Retail	paid	N/A	N/A	N/A	2010.0
3071	Food Market	False	Nicaragua	N/A	False	15000.0	725	205234	26	725	lender	725.0	12.0	Food	paid	N/A	N/A	N/A	2010.0
3072	Construction Supplies	False	Nicaragua	N/A	False	18000.0	850	205235	28	850	lender	850.0	15.0	Construction	paid	N/A	N/A	N/A	2010.0
3073	Used Clothing	True	Uganda	N/A	False	2000000.0	900	205328	31	900	lender	900.0	11.0	Clothing	paid	N/A	N/A	N/A	2010.0
3074	Clothing	False	Mali	N/A	False	500000.0	950	205360	33	950	lender	950.0	8.0	Clothing	paid	N/A	N/A	N/A	2010.0
3075	Cereals	True	Togo	N/A	False	300000.0	575	205429	4	575	lender	575.0	14.0	Food	paid	N/A	N/A	N/A	2010.0
3076	Natural Medicines	True	Peru	N/A	False	500.0	175	205470	3	175	lender	175.0	6.0	Health	paid	N/A	N/A	N/A	2010.0
3077	Farming	False	Cambodia	N/A	False	5800000.0	1400	205580	45	1400	lender	1400.0	14.0	Agriculture	paid	N/A	N/A	N/A	2010.0
3078	Fruits & Vegetables	False	Peru	N/A	False	3000.0	1075	205871	33	1075	lender	1075.0	8.0	Food	paid	N/A	N/A	N/A	2010.0
3079	Services	False	Bolivia	N/A	False	34500.0	0	205925	0	4950	lender	N/A	8.0	Services	inactive_expired	N/A	N/A	N/A	N/A
3080	General Store	True	Ecuador	N/A	False	800.0	800	205938	29	800	lender	800.0	12.0	Retail	paid	N/A	N/A	N/A	2010.0
3081	Agriculture	True	Peru	N/A	False	1800.0	650	205948	19	650	lender	650.0	8.0	Agriculture	paid	N/A	N/A	N/A	2010.0
3082	Personal Purchases	True	Peru	N/A	False	1500.0	550	205963	21	550	lender	550.0	7.0	Personal Use	paid	N/A	N/A	N/A	2010.0
3083	Food Production/Sales	True	Cambodia	N/A	False	500.0	500	206024	12	500	lender	500.0	14.0	Food	paid	N/A	N/A	N/A	2010.0
3084	General Store	True	Philippines	N/A	False	4000.0	100	206107	4	100	lender	100.0	7.0	Retail	paid	N/A	N/A	N/A	2010.0
3085	Taxi	True	Peru	N/A	False	1200.0	425	206249	16	425	lender	425.0	8.0	Transportation	paid	N/A	N/A	N/A	2010.0
3086	Food Production/Sales	True	Philippines	N/A	False	33000.0	725	206346	21	725	lender	725.0	11.0	Food	paid	N/A	N/A	N/A	2010.0
3087	Waste Management	True	Philippines	N/A	False	23000.0	500	206448	15	500	lender	500.0	8.0	Services	paid	N/A	N/A	N/A	2010.0
3088	Taxi	False	Nicaragua	N/A	False	12000.0	575	206532	11	575	lender	575.0	14.0	Transportation	paid	N/A	N/A	N/A	2010.0
3089	General Store	True	El Salvador	N/A	False	800.0	800	206549	27	800	lender	800.0	20.0	Retail	paid	N/A	N/A	N/A	2010.0
3090	General Store	True	Philippines	N/A	False	13000.0	300	206633	11	300	lender	300.0	8.0	Retail	paid	N/A	N/A	N/A	2010.0
3091	Farm Supplies	False	Cambodia	N/A	False	2800000.0	675	206671	21	675	lender	675.0	13.0	Agriculture	paid	N/A	N/A	N/A	2010.0
3092	Farming	False	Cambodia	N/A	False	2000000.0	0	206726	0	500	lender	N/A	17.0	Agriculture	inactive_expired	N/A	N/A	N/A	N/A
3093	Retail	True	Peru	N/A	False	500.0	200	206857	8	200	lender	200.0	6.0	Retail	paid	N/A	N/A	N/A	2010.0
3094	Food Production/Sales	True	Chile	N/A	False	1714769.0	3150	206863	100	3150	lender	3150.0	5.0	Food	paid	N/A	N/A	N/A	2010.0
3095	Farming	True	Tajikistan	N/A	False	2000.0	2000	207022	68	2000	lender	2000.0	9.0	Agriculture	paid	N/A	N/A	N/A	2010.0
3096	Personal Housing Expenses	True	Mexico	N/A	False	3000.0	250	207134	7	250	lender	250.0	9.0	Housing	paid	N/A	N/A	N/A	2010.0
3097	General Store	True	Philippines	N/A	False	57000.0	0	207203	0	1225	lender	N/A	8.0	Retail	refunded	N/A	N/A	N/A	N/A
3098	Home Products Sales	True	Cambodia	N/A	False	800.0	800	207204	29	800	lender	800.0	21.0	Retail	paid	N/A	N/A	N/A	2010.0
3099	Agriculture	True	Peru	N/A	False	500.0	200	207374	8	200	lender	200.0	11.0	Agriculture	paid	N/A	N/A	N/A	2010.0
3100	Grocery Store	True	Peru	N/A	False	1000.0	375	207418	14	375	lender	375.0	7.0	Food	paid	N/A	N/A	N/A	2010.0
3101	Beauty Salon	True	Philippines	N/A	False	13000.0	300	207435	11	300	lender	300.0	8.0	Services	paid	N/A	N/A	N/A	2010.0
3102	Pharmacy	False	Tanzania	N/A	False	1200000.0	850	207457	30	850	lender	850.0	14.0	Health	paid	N/A	N/A	N/A	2010.0
3103	Beauty Salon	False	Tanzania	N/A	False	1200000.0	850	207460	16	850	lender	850.0	13.0	Services	paid	N/A	N/A	N/A	2010.0
3104	Pigs	True	Peru	N/A	False	1000.0	375	207674	13	375	lender	375.0	8.0	Agriculture	paid	N/A	N/A	N/A	2010.0
3105	Clothing Sales	True	Peru	N/A	False	500.0	200	207677	8	200	lender	200.0	10.0	Clothing	paid	N/A	N/A	N/A	2010.0
3106	General Store	False	Nicaragua	N/A	False	24000.0	1150	207723	35	1150	lender	1150.0	15.0	Retail	paid	N/A	N/A	N/A	2010.0
3107	Embroidery	False	Pakistan	N/A	False	69000.0	825	207744	33	825	lender	825.0	13.0	Arts	paid	N/A	N/A	N/A	2010.0
3108	Food Market	False	Cambodia	N/A	False	7100000.0	0	207770	0	1700	lender	N/A	13.0	Food	inactive_expired	N/A	N/A	N/A	N/A
3109	Embroidery	False	Pakistan	N/A	False	63000.0	750	208086	25	750	lender	750.0	13.0	Arts	paid	N/A	N/A	N/A	2010.0
3110	Construction	False	Cambodia	N/A	False	3800000.0	0	208111	0	925	lender	N/A	14.0	Construction	inactive_expired	N/A	N/A	N/A	N/A
3111	Dairy	True	Kenya	N/A	False	45000.0	575	208131	20	575	lender	575.0	14.0	Agriculture	paid	N/A	N/A	N/A	2010.0
3112	Farming	True	Cambodia	N/A	False	1000000.0	250	208165	9	250	lender	250.0	14.0	Agriculture	paid	N/A	N/A	N/A	2010.0
3113	Motorcycle Transport	True	Cambodia	N/A	False	800.0	0	208197	0	800	lender	N/A	20.0	Transportation	inactive_expired	N/A	N/A	N/A	N/A
3114	Mobile Phones	True	Tajikistan	N/A	False	5100.0	1175	208234	43	1175	lender	1175.0	20.0	Retail	paid	N/A	N/A	N/A	2010.0
3115	Retail	True	Ukraine	N/A	False	13000.0	1650	208328	54	1650	lender	1650.0	8.0	Retail	paid	N/A	N/A	N/A	2010.0
3116	Retail	False	Peru	N/A	False	2600.0	925	208356	34	925	lender	925.0	7.0	Retail	paid	N/A	N/A	N/A	2010.0
3117	Transportation	True	Mongolia	N/A	False	1000000.0	750	208375	23	750	lender	750.0	14.0	Transportation	paid	N/A	N/A	N/A	2010.0
3118	Animal Sales	True	Cambodia	N/A	False	2000000.0	500	208398	18	500	lender	500.0	14.0	Agriculture	paid	N/A	N/A	N/A	2010.0
3119	General Store	True	Philippines	N/A	False	5000.0	125	208424	1	125	lender	125.0	8.0	Retail	paid	N/A	N/A	N/A	2010.0
3120	General Store	True	Philippines	N/A	False	15000.0	325	208428	10	325	lender	325.0	8.0	Retail	paid	N/A	N/A	N/A	2010.0
3121	Construction	True	Lebanon	N/A	False	3000000.0	2000	208494	50	2000	lender	2000.0	20.0	Construction	paid	N/A	N/A	N/A	2010.0
3122	Retail	True	Philippines	N/A	False	25000.0	550	208622	15	550	lender	550.0	8.0	Retail	paid	N/A	N/A	N/A	2010.0
3123	General Store	True	Philippines	N/A	False	8000.0	175	208649	7	175	lender	175.0	8.0	Retail	paid	N/A	N/A	N/A	2010.0
3124	Manufacturing	False	Pakistan	N/A	False	62000.0	750	208671	28	750	lender	750.0	13.0	Manufacturing	paid	N/A	N/A	N/A	2010.0
3125	Food Market	False	Senegal	N/A	False	50000.0	100	208750	1	100	lender	100.0	8.0	Food	paid	N/A	N/A	N/A	2010.0
3126	Retail	False	Nicaragua	N/A	False	18000.0	850	208829	21	850	lender	850.0	7.0	Retail	paid	N/A	N/A	N/A	2010.0
3127	Carpentry	False	Togo	N/A	True	500000.0	950	208842	29	950	lender	N/A	26.0	Construction	defaulted	N/A	N/A	N/A	2010.0
3128	Office Supplies	True	Benin	N/A	False	150000.0	300	208858	8	300	lender	300.0	12.0	Retail	paid	N/A	N/A	N/A	2010.0
3129	Jewelry	False	Honduras	N/A	False	12500.0	675	208934	23	675	lender	675.0	10.0	Retail	paid	N/A	N/A	N/A	2010.0
3130	Dairy	True	Kenya	N/A	False	50000.0	625	209023	11	625	lender	625.0	11.0	Agriculture	paid	N/A	N/A	N/A	2010.0
3131	Vehicle Repairs	True	Ukraine	N/A	False	10000.0	1275	209059	29	1275	lender	1275.0	11.0	Services	paid	N/A	N/A	N/A	2010.0
3132	Beauty Salon	False	Ghana	N/A	False	400.0	300	209066	12	300	lender	300.0	8.0	Services	paid	N/A	N/A	N/A	2010.0
3133	Fuel/Firewood	True	Cambodia	N/A	False	1100.0	1100	209088	41	1100	lender	1100.0	20.0	Retail	paid	N/A	N/A	N/A	2010.0
3134	Cosmetics Sales	False	Pakistan	N/A	False	80000.0	950	209186	36	950	lender	950.0	13.0	Retail	paid	N/A	N/A	N/A	2010.0
3135	Agriculture	True	Philippines	N/A	False	14000.0	325	209196	13	325	lender	325.0	8.0	Agriculture	paid	N/A	N/A	N/A	2010.0
3136	Vehicle	True	Cambodia	N/A	False	1200.0	1200	209217	40	1200	lender	1200.0	17.0	Personal Use	paid	N/A	N/A	N/A	2010.0
3137	Agriculture	True	Tajikistan	N/A	False	342.0	350	209255	11	350	lender	350.0	14.0	Agriculture	paid	N/A	N/A	N/A	2010.0
3138	Farming	True	Kenya	N/A	False	40000.0	500	209270	18	500	lender	500.0	11.0	Agriculture	paid	N/A	N/A	N/A	2010.0
3139	Cafe	True	Paraguay	N/A	False	13931849.0	2950	209424	92	2950	lender	2950.0	6.0	Food	paid	N/A	N/A	N/A	2010.0
3140	General Store	True	Ecuador	N/A	False	1200.0	1200	209465	38	1200	lender	1200.0	15.0	Retail	paid	N/A	N/A	N/A	2010.0
3141	Manufacturing	True	Peru	N/A	False	1000.0	375	209474	6	375	lender	375.0	8.0	Manufacturing	paid	N/A	N/A	N/A	2010.0
3142	Farming	False	Cambodia	N/A	False	1500000.0	0	209534	0	375	lender	N/A	11.0	Agriculture	inactive_expired	N/A	N/A	N/A	N/A
3143	General Store	True	Philippines	N/A	False	5000.0	125	209572	5	125	lender	125.0	6.0	Retail	paid	N/A	N/A	N/A	2010.0
3144	General Store	True	Uganda	N/A	False	700000.0	325	209626	8	325	lender	325.0	10.0	Retail	paid	N/A	N/A	N/A	2010.0
3145	Grocery Store	True	Uganda	N/A	False	100000.0	50	209816	1	50	lender	50.0	11.0	Food	paid	N/A	N/A	N/A	2010.0
3146	Food Stall	True	Uganda	N/A	False	1700000.0	775	209818	28	775	lender	775.0	9.0	Food	paid	N/A	N/A	N/A	2010.0
3147	Transportation	True	Peru	N/A	False	1500.0	550	209921	19	550	lender	550.0	7.0	Transportation	paid	N/A	N/A	N/A	2010.0
3148	Grocery Store	True	Cambodia	N/A	False	1200000.0	300	209977	12	300	lender	300.0	12.0	Food	paid	N/A	N/A	N/A	2010.0
3149	General Store	True	Uganda	N/A	False	3050000.0	1375	210083	46	1375	lender	1375.0	6.0	Retail	paid	N/A	N/A	N/A	2010.0
3150	Farming	True	Philippines	N/A	False	11000.0	250	210097	10	250	lender	250.0	7.0	Agriculture	paid	N/A	N/A	N/A	2010.0
3151	Cafe	True	Kenya	N/A	False	25000.0	325	210151	12	325	lender	325.0	11.0	Food	paid	N/A	N/A	N/A	2010.0
3152	Retail	True	Paraguay	N/A	False	12127724.0	2575	210299	68	2575	lender	2575.0	6.0	Retail	paid	N/A	N/A	N/A	2010.0
3153	Retail	False	Senegal	N/A	False	700000.0	1325	210338	32	1325	lender	1325.0	8.0	Retail	paid	N/A	N/A	N/A	2010.0
3154	Wedding Expenses	True	Philippines	N/A	False	24500.0	550	210343	20	550	lender	550.0	12.0	Personal Use	paid	N/A	N/A	N/A	2010.0
3155	Fish Selling	True	Philippines	N/A	False	19000.0	425	210485	10	425	lender	425.0	11.0	Food	paid	N/A	N/A	N/A	2010.0
3156	Food Production/Sales	False	Kyrgyzstan	N/A	False	55000.0	1200	210542	47	1200	lender	1200.0	8.0	Food	paid	N/A	N/A	N/A	2010.0
3157	Food Stall	False	South Sudan	N/A	False	400.0	175	210574	7	175	lender	175.0	13.0	Food	paid	N/A	N/A	N/A	2010.0
3158	Grocery Store	False	Congo	N/A	False	250000.0	475	210626	13	475	lender	475.0	6.0	Food	paid	N/A	N/A	N/A	2010.0
3159	Retail	True	Philippines	N/A	False	12000.0	275	210794	11	275	lender	275.0	8.0	Retail	paid	N/A	N/A	N/A	2010.0
3160	Retail	True	Philippines	N/A	False	5000.0	125	210797	5	125	lender	125.0	6.0	Retail	paid	N/A	N/A	N/A	2010.0
3161	General Store	True	Philippines	N/A	False	12500.0	275	210886	10	275	lender	275.0	8.0	Retail	paid	N/A	N/A	N/A	2010.0
3162	Agriculture	True	Philippines	N/A	False	15000.0	350	210887	13	350	lender	350.0	7.0	Agriculture	paid	N/A	N/A	N/A	2010.0
3163	Agriculture	True	Cambodia	N/A	False	2500000.0	600	210958	22	600	lender	600.0	12.0	Agriculture	paid	N/A	N/A	N/A	2010.0
3164	Clothing Sales	True	Paraguay	N/A	False	1742942.0	375	211049	15	375	lender	375.0	15.0	Clothing	paid	N/A	N/A	N/A	2010.0
3165	Grocery Store	False	Rwanda	N/A	False	432000.0	750	211074	24	750	lender	750.0	26.0	Food	paid	N/A	N/A	N/A	2010.0
3166	Retail	True	Benin	N/A	False	190000.0	375	211155	14	375	lender	375.0	12.0	Retail	paid	N/A	N/A	N/A	2010.0
3167	Home Products Sales	False	Nicaragua	N/A	False	10000.0	475	211164	14	475	lender	475.0	12.0	Retail	paid	N/A	N/A	N/A	2010.0
3168	Personal Purchases	False	Senegal	N/A	False	150000.0	300	211167	9	300	lender	300.0	14.0	Personal Use	paid	N/A	N/A	N/A	2010.0
3169	Cafe	False	Dominican Republic	N/A	False	30000.0	825	211179	12	825	lender	825.0	14.0	Food	paid	N/A	N/A	N/A	2010.0
3170	Agriculture	True	Philippines	N/A	False	6000.0	150	211268	6	150	lender	150.0	7.0	Agriculture	paid	N/A	N/A	N/A	2010.0
3171	Retail	False	Senegal	N/A	False	100000.0	200	211306	8	200	lender	200.0	13.0	Retail	paid	N/A	N/A	N/A	2010.0
3172	Clothing	False	Samoa	N/A	False	1000.0	400	211325	16	400	lender	400.0	14.0	Clothing	paid	N/A	N/A	N/A	2010.0
3173	Patchwork	False	Afghanistan	N/A	False	20000.0	450	211349	15	450	lender	450.0	12.0	Arts	paid	N/A	N/A	N/A	2010.0
3174	Wedding Expenses	False	Afghanistan	N/A	True	40000.0	900	211352	24	900	lender	N/A	14.0	Personal Use	defaulted	N/A	N/A	N/A	2010.0
3175	General Store	True	Philippines	N/A	False	20000.0	450	211363	17	450	lender	450.0	7.0	Retail	paid	N/A	N/A	N/A	2010.0
3176	Livestock	True	Philippines	N/A	False	15000.0	325	211383	9	325	lender	325.0	7.0	Agriculture	paid	N/A	N/A	N/A	2010.0
3177	Home Products Sales	True	Mexico	N/A	False	12000.0	950	211487	32	950	lender	950.0	9.0	Retail	paid	N/A	N/A	N/A	2010.0
3178	Personal Housing Expenses	False	Nicaragua	N/A	False	20010.7	0	211491	27	950	lender	N/A	21.0	Housing	refunded	N/A	N/A	N/A	2010.0
3179	Farm Supplies	False	Nicaragua	N/A	False	6000.0	300	211543	9	300	lender	300.0	12.0	Agriculture	paid	N/A	N/A	N/A	2010.0
3180	Jewelry	False	Dominican Republic	N/A	False	52000.0	1450	211747	54	1450	lender	1450.0	7.0	Retail	paid	N/A	N/A	N/A	2010.0
3181	Used Clothing	True	Uganda	N/A	False	800000.0	375	211799	7	375	lender	375.0	8.0	Clothing	paid	N/A	N/A	N/A	2010.0
3182	Poultry	False	Cambodia	N/A	False	2000000.0	500	211822	18	500	lender	500.0	14.0	Agriculture	paid	N/A	N/A	N/A	2010.0
3183	Retail	True	Bolivia	N/A	False	20696.88	2950	211957	93	2950	lender	2950.0	8.0	Retail	paid	N/A	N/A	N/A	2010.0
3184	Food Market	True	Philippines	N/A	False	11000.0	250	212005	9	250	lender	250.0	8.0	Food	paid	N/A	N/A	N/A	2010.0
3185	Pigs	False	Cambodia	N/A	False	10200000.0	2450	212009	82	2450	lender	2450.0	14.0	Agriculture	paid	N/A	N/A	N/A	2010.0
3186	Animal Sales	True	Peru	N/A	False	1000.0	375	212049	14	375	lender	375.0	15.0	Agriculture	paid	N/A	N/A	N/A	2010.0
3187	Farming	False	Mali	N/A	False	540000.0	1025	212084	28	1025	lender	1025.0	12.0	Agriculture	paid	N/A	N/A	N/A	2010.0
3188	Agriculture	True	Peru	N/A	False	1000.0	375	212146	12	375	lender	375.0	8.0	Agriculture	paid	N/A	N/A	N/A	2010.0
3189	Animal Sales	True	Peru	N/A	False	500.0	200	212152	5	200	lender	200.0	8.0	Agriculture	paid	N/A	N/A	N/A	2010.0
3190	Tailoring	True	Philippines	N/A	False	8000.0	175	212268	7	175	lender	175.0	8.0	Services	paid	N/A	N/A	N/A	2010.0
3191	Animal Sales	False	Pakistan	N/A	False	80000.0	950	212300	33	950	lender	950.0	13.0	Agriculture	paid	N/A	N/A	N/A	2010.0
3192	General Store	True	Ecuador	N/A	False	1000.0	1000	212367	36	1000	lender	1000.0	15.0	Retail	paid	N/A	N/A	N/A	2010.0
3193	Clothing Sales	False	Pakistan	N/A	False	55000.0	650	212539	11	650	lender	650.0	12.0	Clothing	paid	N/A	N/A	N/A	2010.0
3194	Grocery Store	False	Iraq	N/A	False	2500.0	2500	212595	86	2500	lender	2500.0	14.0	Food	paid	N/A	N/A	N/A	2010.0
3195	Dairy	False	Bolivia	N/A	False	1000.0	1000	212730	39	1000	lender	1000.0	26.0	Agriculture	paid	N/A	N/A	N/A	2010.0
3196	Spare Parts	False	Kyrgyzstan	N/A	False	75000.0	1625	212790	58	1625	lender	1625.0	5.0	Retail	paid	N/A	N/A	N/A	2010.0
3197	Cafe	True	Mongolia	N/A	False	3100000.0	2300	212824	74	2300	lender	2300.0	20.0	Food	paid	N/A	N/A	N/A	2010.0
3198	Jewelry	True	Mexico	N/A	False	19000.0	1475	212993	56	1475	lender	1475.0	6.0	Retail	paid	N/A	N/A	N/A	2010.0
3199	Personal Housing Expenses	False	Peru	N/A	False	1800.0	650	213043	22	650	lender	650.0	6.0	Housing	paid	N/A	N/A	N/A	2010.0
3200	Personal Purchases	False	Kyrgyzstan	N/A	False	51000.0	0	213128	39	1100	lender	N/A	10.0	Personal Use	refunded	N/A	N/A	N/A	2010.0
3201	Fruits & Vegetables	False	Pakistan	N/A	False	60000.0	725	213135	22	725	lender	725.0	12.0	Food	paid	N/A	N/A	N/A	2010.0
3202	Livestock	True	Philippines	N/A	False	14000.0	325	213158	11	325	lender	325.0	6.0	Agriculture	paid	N/A	N/A	N/A	2010.0
3203	Retail	True	Peru	N/A	False	10100.0	3600	213273	125	3600	lender	3600.0	8.0	Retail	paid	N/A	N/A	N/A	2010.0
3204	Cattle	False	Costa Rica	N/A	False	500000.0	950	213297	22	950	lender	950.0	38.0	Agriculture	paid	N/A	N/A	N/A	2010.0
3205	Beauty Salon	True	El Salvador	N/A	False	225.0	225	213324	8	225	lender	225.0	7.0	Services	paid	N/A	N/A	N/A	2010.0
3206	General Store	True	Philippines	N/A	False	5000.0	125	213391	4	125	lender	125.0	7.0	Retail	paid	N/A	N/A	N/A	2010.0
3207	Rickshaw	False	Pakistan	N/A	False	40000.0	475	213392	16	475	lender	475.0	12.0	Transportation	paid	N/A	N/A	N/A	2010.0
3208	Retail	False	Vietnam	N/A	False	8502000.0	450	213399	18	450	lender	450.0	13.0	Retail	paid	N/A	N/A	N/A	2010.0
3209	Pigs	True	Cambodia	N/A	False	900.0	900	213402	33	900	lender	900.0	14.0	Agriculture	paid	N/A	N/A	N/A	2010.0
3210	Personal Housing Expenses	True	Kenya	N/A	False	40000.0	500	213459	15	500	lender	500.0	14.0	Housing	paid	N/A	N/A	N/A	2010.0
3211	Grocery Store	True	Mexico	N/A	False	6297.0	500	213584	16	500	lender	500.0	14.0	Food	paid	N/A	N/A	N/A	2010.0
3212	Fish Selling	True	Philippines	N/A	False	54000.0	1175	213592	44	1175	lender	1175.0	14.0	Food	paid	N/A	N/A	N/A	2010.0
3213	Vehicle	False	Cambodia	N/A	False	15800000.0	3725	213632	112	3725	lender	3725.0	14.0	Personal Use	paid	N/A	N/A	N/A	2010.0
3214	Motorcycle Transport	True	Philippines	N/A	False	50000.0	1100	213729	39	1100	lender	1100.0	14.0	Transportation	paid	N/A	N/A	N/A	2010.0
3215	Fish Selling	True	Philippines	N/A	False	11000.0	250	213753	9	250	lender	250.0	11.0	Food	paid	N/A	N/A	N/A	2010.0
3216	Taxi	False	Azerbaijan	N/A	False	2000.0	2500	213798	19	2500	lender	2500.0	20.0	Transportation	paid	N/A	N/A	N/A	2010.0
3217	Knitting	True	Bolivia	N/A	False	200.0	200	213821	4	200	lender	200.0	14.0	Arts	paid	N/A	N/A	N/A	2010.0
3218	Clothing Sales	False	Dominican Republic	N/A	False	62000.0	1700	213856	37	1700	lender	1700.0	7.0	Clothing	paid	N/A	N/A	N/A	2010.0
3219	Food Production/Sales	False	Honduras	N/A	False	10000.0	550	213952	18	550	lender	550.0	12.0	Food	paid	N/A	N/A	N/A	2010.0
3220	Textiles	True	Guatemala	N/A	False	15200.0	1900	213967	67	1900	lender	1900.0	12.0	Arts	paid	N/A	N/A	N/A	2010.0
3221	Bakery	True	Tajikistan	N/A	False	1500.0	1500	214158	56	1500	lender	1500.0	13.0	Food	paid	N/A	N/A	N/A	2010.0
3222	Charcoal Sales	True	Kenya	N/A	False	30000.0	375	214174	1	375	lender	375.0	13.0	Retail	paid	N/A	N/A	N/A	2010.0
3223	Cattle	True	Ecuador	N/A	False	600.0	600	214285	9	600	lender	600.0	14.0	Agriculture	paid	N/A	N/A	N/A	2010.0
3224	Motorcycle Transport	True	Philippines	N/A	False	20000.0	450	214296	14	450	lender	450.0	8.0	Transportation	paid	N/A	N/A	N/A	2010.0
3225	Farming	True	Philippines	N/A	False	8000.0	175	214372	6	175	lender	175.0	7.0	Agriculture	paid	N/A	N/A	N/A	2010.0
3226	General Store	True	Philippines	N/A	False	5000.0	125	214374	5	125	lender	125.0	7.0	Retail	paid	N/A	N/A	N/A	2010.0
3227	Retail	False	Rwanda	N/A	False	450000.0	775	214426	29	775	lender	775.0	8.0	Retail	paid	N/A	N/A	N/A	2010.0
3228	Agriculture	True	Ecuador	N/A	False	600.0	600	214457	18	600	lender	600.0	14.0	Agriculture	paid	N/A	N/A	N/A	2010.0
3229	Primary/secondary school costs	True	Colombia	N/A	False	1355500.0	725	214472	25	725	lender	725.0	8.0	Education	paid	N/A	N/A	N/A	2010.0
3230	Food Stall	True	Peru	N/A	False	1000.0	375	214474	15	375	lender	375.0	10.0	Food	paid	N/A	N/A	N/A	2010.0
3231	General Store	True	Mexico	N/A	False	24000.0	1875	214505	63	1875	lender	1875.0	8.0	Retail	paid	N/A	N/A	N/A	2010.0
3232	Fish Selling	False	Nicaragua	N/A	False	8000.0	0	214517	14	375	lender	N/A	4.0	Food	refunded	N/A	N/A	N/A	2010.0
3233	Retail	True	Paraguay	N/A	False	18244928.0	0	214569	0	3850	lender	N/A	6.0	Retail	inactive_expired	N/A	N/A	N/A	N/A
3234	Agriculture	True	Ecuador	N/A	False	800.0	800	214608	14	800	lender	800.0	14.0	Agriculture	paid	N/A	N/A	N/A	2010.0
3235	Agriculture	True	Cambodia	N/A	False	1100.0	1100	214658	19	1100	lender	1100.0	20.0	Agriculture	paid	N/A	N/A	N/A	2010.0
